id,created_at,text,text_clean,word_count,hashtags,entities.mentions,author_id,name,verified,possibly_sensitive,lang,edit_history_tweet_ids,user_location,user_location_USA_state,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,sentiment_vader_raw,sentiment_vader_label,Speculation,Sensationalism,Conspiracy,Hate_Speech,Satire,clean_text,word_count_clean,date,week,month,day_of_week,hour,days_to_election,election_period,engagement_total,log_engagement,engagement_rate,harmful_label_count,any_harmful,hashtag_tokens,mention_tokens,has_hashtags,has_mentions,has_state,engagement_bucket
1847022787396845706,2024-10-17 21:12:03+00:00,"With less than three weeks until election day, voter turnout is expected to be high this year. For many young voters, this will be their first time voting. https://t.co/eB1qMt5t5b",weeks election day voter turnout expected high year young voters time voting,29,[],,28390516,KMOV,False,False,en,['1847022787396845706'],"St. Louis, MO",Missouri,0,0,0,0,0,0,0.0,neutral,0,0,0,0,0,weeks election day voter turnout expected high year young voters time voting,12,2024-10-17,2024-10-14 00:00:00+00:00,2024-10,Thursday,21,-19,pre_election,0,0.0,,0,0,[],[],False,False,True,low
1847022775430766606,2024-10-17 21:12:00+00:00,"""...an outsider will not succeed in implementing an independent agenda unless he can take on the Deep State and win."" #DeepState #politics #geopolitics #governance  https://t.co/79sS7n3pFR",outsider succeed implementing independent agenda unless deep state win deepstate politics geopolitics governance,25,"['#deepstate', '#politics', '#geopolitics', '#governance']",,782905892505214976,K. G. A.,False,False,en,['1847022775430766606'],"Rhode Island, USA",Rhode Island,0,0,0,0,0,0,0.2896,positive,1,1,1,0,0,outsider succeed implementing independent agenda unless deep state win deepstate politics geopolitics governance,13,2024-10-17,2024-10-14 00:00:00+00:00,2024-10,Thursday,21,-19,pre_election,0,0.0,,3,1,"['deepstate', 'geopolitics', 'governance', 'politics']",[],True,False,True,low
1847022760385483154,2024-10-17 21:11:56+00:00,"@mcuban [00:01:01]@mcuban  I love helping companies become successful, which is why this election is so important to me and to all of us. This election is a battle for entrepreneurs.
#Election2024  #FreeSpeechMatters 

video + transcript 👉: https://t.co/JEYHc6tb02

⚡️By… https://t.co/r8jkALfJFh",000101 love helping companies successful election important election battle entrepreneurs election2024 freespeechmatters video transcript,39,"['#election2024', '#freespeechmatters']","[{'start': 0, 'end': 7, 'username': 'mcuban', 'id': '16228398'}, {'start': 18, 'end': 25, 'username': 'mcuban', 'id': '16228398'}]",1820369823164993536,Harris Transcripts by Alice,False,False,en,['1847022760385483154'],"Washington, DC",Washington,0,0,0,0,0,3,0.874,positive,0,0,0,0,0,000101 love helping companies successful election important election battle entrepreneurs election2024 freespeechmatters video transcript,14,2024-10-17,2024-10-14 00:00:00+00:00,2024-10,Thursday,21,-19,pre_election,0,0.0,0.0,0,0,"['election2024', 'freespeechmatters']","['0', '16228398', '18', '25', '7', 'end', 'id', 'mcuban', 'start', 'username']",True,True,True,low
1847022758972276993,2024-10-17 21:11:56+00:00,"@group1steve @FairiMairi @shananhalbert @LouiseUpston I want to be transparent; I am a National member; so when I say this; it isn’t anything defending the left. 

However; I do not foresee this in 2026; outside of extraordinary conditions. Though; I do foresee this as a more longterm possibility. 

https://t.co/UuaOTex4vS",want transparent national member say isnt defending left foresee 2026 outside extraordinary conditions foresee longterm possibility,48,[],"[{'start': 0, 'end': 12, 'username': 'group1steve', 'id': '1117926858924756992'}, {'start': 13, 'end': 24, 'username': 'FairiMairi', 'id': '1560034716199579648'}, {'start': 25, 'end': 39, 'username': 'shananhalbert', 'id': '2467455000'}, {'start': 40, 'end': 53, 'username': 'LouiseUpston', 'id': '29387139'}]",1771293943587803137,Aotearoa Conservatism,False,False,en,['1847022758972276993'],,,0,0,0,0,0,0,0.0772,positive,1,1,0,0,0,want transparent national member say isnt defending left foresee 2026 outside extraordinary conditions foresee longterm possibility,16,2024-10-17,2024-10-14 00:00:00+00:00,2024-10,Thursday,21,-19,pre_election,0,0.0,,2,1,[],"['0', '1117926858924756992', '12', '13', '1560034716199579648', '24', '2467455000', '25', '29387139', '39', '40', '53', 'end', 'fairimairi', 'group1steve', 'id', 'louiseupston', 'shananhalbert', 'start', 'username']",False,True,False,low
1847022733827162621,2024-10-17 21:11:50+00:00,"Read this published today by a newspaper that supports him, Wall Street Journal. Truth is, the issue is NOT CHINA, nor is the solution tariffs. Tariffs will actually have a serious impact on economic impact and may add to inflationary pressures.

https://t.co/uL2MeMJOFo https://t.co/KgK6X6r1QC",read published today newspaper supports wall street journal truth issue china solution tariffs tariffs actually impact economic impact add inflationary pressures,43,[],,3229279664,cbian,False,False,en,['1847022733827162621'],"Atlanta, GA ",Georgia,0,0,0,0,0,2,0.0613,positive,0,0,0,0,0,read published today newspaper supports wall street journal truth issue china solution tariffs tariffs actually impact economic impact add inflationary pressures,21,2024-10-17,2024-10-14 00:00:00+00:00,2024-10,Thursday,21,-19,pre_election,0,0.0,0.0,0,0,[],[],False,False,True,low
1847022723077148794,2024-10-17 21:11:47+00:00,"The election theft has started in earnest in deep Blue Atlanta.
https://t.co/G4zfLetbd2",election theft started earnest deep blue atlanta,12,[],,1151615661447270400,Mike Hawkins,False,False,en,['1847022723077148794'],"Georgia, USA",Georgia,0,0,0,0,0,0,0.5106,positive,1,1,1,0,0,election theft started earnest deep blue atlanta,7,2024-10-17,2024-10-14 00:00:00+00:00,2024-10,Thursday,21,-19,pre_election,0,0.0,,3,1,[],[],False,False,True,low
1847022692534251522,2024-10-17 21:11:40+00:00,"@SammyGyamfi_ #OperationPassTheLGBTQplusBillNow
#PassTheLGBTQplusBillNow
Kindly use this golden opportunity to show us you're capable if you've been given power from 2025.
Do it now before the election 2024
@ndccommbureau 
@NDCYouthWing 
@OfficialNDCGh 
@samgeorgegh 
@S_OkudzetoAblak",_ operationpassthelgbtqplusbillnow passthelgbtqplusbillnow kindly use golden opportunity youre capable youve given power 2025 election 2024 _okudzetoablak,32,"['#operationpassthelgbtqplusbillnow', '#passthelgbtqplusbillnow']","[{'start': 0, 'end': 13, 'username': 'SammyGyamfi_', 'id': '875378357046849536'}, {'start': 207, 'end': 221, 'username': 'ndccommbureau', 'id': '1085276131413147649'}, {'start': 223, 'end': 236, 'username': 'NDCYouthWing', 'id': '1074629833697693696'}, {'start': 238, 'end': 252, 'username': 'OfficialNDCGh', 'id': '854705534'}, {'start': 254, 'end': 266, 'username': 'samgeorgegh', 'id': '255019878'}, {'start': 268, 'end': 284, 'username': 'S_OkudzetoAblak', 'id': '856009806'}]",3668323703,In My Lane,False,False,en,['1847022692534251522'],Ghana,,0,0,0,0,0,1,0.8225,positive,0,0,0,0,0,_ operationpassthelgbtqplusbillnow passthelgbtqplusbillnow kindly use golden opportunity youre capable youve given power 2025 election 2024 _okudzetoablak,16,2024-10-17,2024-10-14 00:00:00+00:00,2024-10,Thursday,21,-19,pre_election,0,0.0,0.0,0,0,"['operationpassthelgbtqplusbillnow', 'passthelgbtqplusbillnow']","['0', '1074629833697693696', '1085276131413147649', '13', '207', '221', '223', '236', '238', '252', '254', '255019878', '266', '268', '284', '854705534', '856009806', '875378357046849536', 'end', 'id', 'ndccommbureau', 'ndcyouthwing', 'officialndcgh', 's_okudzetoablak', 'samgeorgegh', 'sammygyamfi_', 'start', 'username']",True,True,False,low
1847022672435105986,2024-10-17 21:11:35+00:00,"#Gold hits record highs on US election uncertainty, more policy easing https://t.co/VIqSAl1YUD",gold hits record highs election uncertainty policy easing,12,['#gold'],,259444637,Antonio C Martinez II -USA/Latin America,False,False,en,['1847022672435105986'],"New York, USA",New York,0,0,0,0,0,0,-0.0314,neutral,0,0,0,0,0,gold hits record highs election uncertainty policy easing,8,2024-10-17,2024-10-14 00:00:00+00:00,2024-10,Thursday,21,-19,pre_election,0,0.0,,0,0,['gold'],[],True,False,True,low
1847022650884800535,2024-10-17 21:11:30+00:00,"@mortalcassie @JCH0718 @smallgovlizard @FreeBeacon They don’t need a border security bill. They just have to enforce laws that are already on the books, which they have done starting in 2024. Because it’s an election year lol 😂",dont need border security just enforce laws books starting 2024 election year lol,37,[],"[{'start': 0, 'end': 13, 'username': 'mortalcassie', 'id': '16962783'}, {'start': 14, 'end': 22, 'username': 'JCH0718', 'id': '1682352825127272448'}, {'start': 23, 'end': 38, 'username': 'smallgovlizard', 'id': '17527144'}, {'start': 39, 'end': 50, 'username': 'FreeBeacon', 'id': '455764741'}]",1478080602196877314,Upstate Communications,False,False,en,['1847022650884800535'],Deep in the dirty South,,0,0,0,0,0,1,0.6369,positive,0,1,0,0,1,dont need border security just enforce laws books starting 2024 election year lol,13,2024-10-17,2024-10-14 00:00:00+00:00,2024-10,Thursday,21,-19,pre_election,0,0.0,0.0,2,1,[],"['0', '13', '14', '1682352825127272448', '16962783', '17527144', '22', '23', '38', '39', '455764741', '50', 'end', 'freebeacon', 'id', 'jch0718', 'mortalcassie', 'smallgovlizard', 'start', 'username']",False,True,False,low
1847023010114412994,2024-10-17 21:12:56+00:00,"“Local &amp; state elections have become prime targets for Chinese interference b/c they receive less scrutiny. . . 

“more insidious threats from efforts to shape U.S. political ecosystem by cultivating relationships w/ local politicians.”

#RRISD1Family

https://t.co/Kjwq9gARvH",local amp state elections prime targets chinese interference bc receive scrutiny insidious threats efforts shape political ecosystem cultivating relationships w local politicians rrisd1family,36,['#rrisd1family'],,2433010591,Mystic Crusader,False,False,en,"['1847022901188247981', '1847023010114412994']","Round Rock, TX",Texas,0,0,0,0,0,3,-0.4728,negative,1,1,1,0,0,local amp state elections prime targets chinese interference bc receive scrutiny insidious threats efforts shape political ecosystem cultivating relationships w local politicians rrisd1family,23,2024-10-17,2024-10-14 00:00:00+00:00,2024-10,Thursday,21,-19,pre_election,0,0.0,0.0,3,1,['rrisd1family'],[],True,False,True,low
